Train End Draw,Target Draw,Training Size,Research Version,Research Config Hash,M1 Set@4,M1 Hit@4,M1 Set@5,M1 Hit@5,M1 Set@6,M1 Hit@6,M2 Set@4,M2 Hit@4,M2 Set@5,M2 Hit@5,M2 Set@6,M2 Hit@6,M3 Set@4,M3 Hit@4,M3 Set@5,M3 Hit@5,M3 Set@6,M3 Hit@6,M4-A Set@4,M4-A Hit@4,M4-A Set@5,M4-A Hit@5,M4-A Set@6,M4-A Hit@6,M4-B Set@4,M4-B Hit@4,M4-B Set@5,M4-B Hit@5,M4-B Set@6,M4-B Hit@6,M4-C Set@4,M4-C Hit@4,M4-C Set@5,M4-C Hit@5,M4-C Set@6,M4-C Hit@6,M4-D Set@4,M4-D Hit@4,M4-D Set@5,M4-D Hit@5,M4-D Set@6,M4-D Hit@6,M4-E Set@4,M4-E Hit@4,M4-E Set@5,M4-E Hit@5,M4-E Set@6,M4-E Hit@6,M4-F Set@4,M4-F Hit@4,M4-F Set@5,M4-F Hit@5,M4-F Set@6,M4-F Hit@6,M5 Set@4,M5 Hit@4,M5 Set@5,M5 Hit@5,M5 Set@6,M5 Hit@6,M6 Set@4,M6 Hit@4,M6 Set@5,M6 Hit@5,M6 Set@6,M6 Hit@6,Ensemble Set@4,Ensemble Hit@4,Ensemble Set@5,Ensemble Hit@5,Ensemble Set@6,Ensemble Hit@6,M7 Set@4,M7 Hit@4,M7 Set@5,M7 Hit@5,M7 Set@6,M7 Hit@6,M8 Set@4,M8 Hit@4,M8 Set@5,M8 Hit@5,M8 Set@6,M8 Hit@6,M9 Set@4,M9 Hit@4,M9 Set@5,M9 Hit@5,M9 Set@6,M9 Hit@6,M10 Set@4,M10 Hit@4,M10 Set@5,M10 Hit@5,M10 Set@6,M10 Hit@6,Random Expected Hit@4,Random Expected Hit@5,Random Expected Hit@6
48701,48702,16474,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,11 22 33 62,1,11 22 33 62 38,1,11 22 33 62 38 50,1,11 22 25 31,2,11 22 25 31 66,2,11 22 25 31 66 72,3,8 29 61 70,1,8 29 61 70 3,1,8 29 61 70 3 34,1,3 8 29 70,1,3 8 29 70 64,1,3 8 29 70 64 34,1,25 31 66 72,2,25 31 66 72 22,2,25 31 66 72 22 69,2,3 8 29 70,1,3 8 29 70 64,1,3 8 29 70 64 34,1,3 29 34 70,1,3 29 34 70 61,1,3 29 34 70 61 8,1,1 2 3 4,0,1 2 3 4 5,1,1 2 3 4 5 6,1,3 29 34 64,1,3 29 34 64 15,1,3 29 34 64 15 61,1,7 8 11 18,1,7 8 11 18 19,1,7 8 11 18 19 20,2,11 14 18 19,1,11 14 18 19 12,1,11 14 18 19 12 28,1,22 8 11 14,1,22 8 11 14 62,1,22 8 11 14 62 52,1,8 29 34 70,1,8 14 29 61 70,1,8 14 29 34 61 70,1,3 8 29 70,1,3 8 29 70 64,1,3 8 29 70 64 34,1,29 34 70 79,1,14 29 65 70 79,1,3 8 29 33 49 65,1,8 20 64 74,1,8 20 64 74 22,1,8 20 64 74 22 69,1,1.0,1.25,1.5
48702,48703,16475,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,11 22 33 59,1,11 22 33 59 38,2,11 22 33 59 38 23,2,11 22 25 31,1,11 22 25 31 72,1,11 22 25 31 72 58,1,3 29 61 70,2,3 29 61 70 34,3,3 29 61 70 34 8,3,3 8 29 61,1,3 8 29 61 34,2,3 8 29 61 34 70,3,8 25 31 72,1,8 25 31 72 69,1,8 25 31 72 69 16,1,3 8 29 61,1,3 8 29 61 34,2,3 8 29 61 34 70,3,3 8 29 61,1,3 8 29 61 70,2,3 8 29 61 70 34,3,1 2 3 4,1,1 2 3 4 5,1,1 2 3 4 5 6,1,3 12 34 61,2,3 12 34 61 29,2,3 12 34 61 29 70,3,5 9 11 16,0,5 9 11 16 17,0,5 9 11 16 17 20,0,11 18 19 28,1,11 18 19 28 14,1,11 18 19 28 14 58,1,11 29 8 22,0,11 29 8 22 62,0,11 29 8 22 62 14,0,8 14 29 61,0,8 12 14 29 61,0,8 12 14 29 54 61,1,3 8 29 61,1,3 8 29 61 34,2,3 8 29 61 34 70,3,29 34 70 79,3,29 34 54 70 79,4,29 34 52 54 61 72,2,11 29 44 72,0,11 29 44 72 68,0,11 29 44 72 68 51,1,1.0,1.25,1.5
48703,48704,16476,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,11 22 48 59,1,11 22 48 59 25,2,11 22 48 59 25 33,2,22 25 31 72,2,22 25 31 72 78,2,22 25 31 72 78 11,2,8 29 34 70,0,8 29 34 70 3,0,8 29 34 70 3 61,0,3 29 52 70,1,3 29 52 70 64,2,3 29 52 70 64 8,2,31 38 66 72,1,31 38 66 72 8,1,31 38 66 72 8 22,1,3 29 52 70,1,3 29 52 70 64,2,3 29 52 70 64 8,2,3 29 34 70,0,3 29 34 70 39,0,3 29 34 70 39 8,0,1 2 3 4,1,1 2 3 4 5,1,1 2 3 4 5 6,1,3 29 52 64,2,3 29 52 64 33,2,3 29 52 64 33 70,2,3 10 18 25,2,3 10 18 25 27,2,3 10 18 25 27 32,2,18 28 38 58,1,18 28 38 58 78,1,18 28 38 58 78 11,1,54 29 22 8,0,54 29 22 8 34,0,54 29 22 8 34 3,0,8 29 34 70,0,8 29 34 52 70,1,8 28 29 34 39 70,0,3 29 52 70,1,3 29 52 70 64,2,3 29 52 70 64 8,2,29 34 70 79,0,29 34 54 70 79,0,8 29 34 35 70 79,0,34 54 70 79,0,34 54 70 79 3,0,34 54 70 79 3 35,0,1.0,1.25,1.5
48706,48707,16478,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,11 20 26 48,1,11 20 26 48 55,2,11 20 26 48 55 59,2,25 31 72 78,1,25 31 72 78 11,2,25 31 72 78 11 22,2,3 8 29 65,2,3 8 29 65 34,2,3 8 29 65 34 39,2,3 8 29 70,2,3 8 29 70 39,2,3 8 29 70 39 34,2,25 38 52 72,1,25 38 52 72 66,1,25 38 52 72 66 13,1,3 8 29 70,2,3 8 29 70 39,2,3 8 29 70 39 34,2,3 29 34 70,1,3 29 34 70 39,1,3 29 34 70 39 8,2,1 2 3 4,0,1 2 3 4 5,0,1 2 3 4 5 6,0,3 29 34 64,2,3 29 34 64 70,2,3 29 34 64 70 39,2,4 8 11 15,3,4 8 11 15 17,3,4 8 11 15 17 20,3,18 28 58 68,3,18 28 58 68 78,3,18 28 58 68 78 21,3,8 60 34 52,1,8 60 34 52 54,1,8 60 34 52 54 29,2,8 29 34 70,2,8 29 34 39 70,2,8 29 34 39 60 70,2,3 8 29 70,2,3 8 29 70 39,2,3 8 29 70 39 34,2,8 34 60 70,1,8 35 39 65 70,1,8 29 35 39 65 70,2,8 60 61 70,1,8 60 61 70 52,1,8 60 61 70 52 34,1,1.0,1.25,1.5
48707,48708,16479,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,11 26 38 48,0,11 26 38 48 20,0,11 26 38 48 20 55,0,11 25 31 58,0,11 25 31 58 72,0,11 25 31 58 72 22,1,3 8 29 34,1,3 8 29 34 70,1,3 8 29 34 70 39,2,3 29 34 70,0,3 29 34 70 39,1,3 29 34 70 39 64,1,25 31 64 72,0,25 31 64 72 37,1,25 31 64 72 37 38,1,3 29 34 70,0,3 29 34 70 39,1,3 29 34 70 39 64,1,3 29 34 70,0,3 29 34 70 39,1,3 29 34 70 39 52,1,1 2 3 4,0,1 2 3 4 5,0,1 2 3 4 5 6,0,3 29 34 61,1,3 29 34 61 39,2,3 29 34 61 39 70,2,8 9 11 15,2,8 9 11 15 18,3,8 9 11 15 18 19,3,18 28 58 68,2,18 28 58 68 78,2,18 28 58 68 78 14,2,8 29 34 52,1,8 29 34 52 60,1,8 29 34 52 60 11,1,8 29 34 70,1,8 29 34 39 70,2,8 29 34 39 52 70,2,3 29 34 70,0,3 29 34 70 39,1,3 29 34 70 39 64,1,8 34 60 70,1,8 29 34 60 70,1,8 39 44 60 65 70,2,8 24 29 64,1,8 24 29 64 44,1,8 24 29 64 44 19,1,1.0,1.25,1.5
48708,48709,16480,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,20 26 33 48,0,20 26 33 48 18,0,20 26 33 48 18 8,0,11 22 25 31,0,11 22 25 31 58,0,11 22 25 31 58 72,1,8 29 34 70,1,8 29 34 70 39,1,8 29 34 70 39 3,2,3 8 29 39,1,3 8 29 39 34,1,3 8 29 39 34 70,2,8 22 64 72,1,8 22 64 72 16,1,8 22 64 72 16 52,2,3 8 29 39,1,3 8 29 39 34,1,3 8 29 39 34 70,2,3 29 34 39,1,3 29 34 39 64,1,3 29 34 39 64 8,1,1 2 3 4,1,1 2 3 4 5,1,1 2 3 4 5 6,1,3 29 34 64,1,3 29 34 64 28,1,3 29 34 64 28 39,1,8 15 18 21,1,8 15 18 21 22,1,8 15 18 21 22 33,1,18 28 58 68,1,18 28 58 68 78,2,18 28 58 68 78 19,3,8 29 64 54,0,8 29 64 54 11,0,8 29 64 54 11 34,0,8 29 34 70,1,8 29 34 39 70,1,8 29 34 39 66 70,2,3 8 29 39,1,3 8 29 39 34,1,3 8 29 39 34 70,2,8 15 39 66,2,8 29 34 60 70,1,8 29 34 39 66 70,2,8 39 54 74,0,8 39 54 74 61,0,8 39 54 74 61 15,1,1.0,1.25,1.5
48709,48710,16481,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,8 18 26 33,0,8 18 26 33 11,1,8 18 26 33 11 42,1,11 22 25 58,2,11 22 25 58 72,2,11 22 25 58 72 8,2,3 8 29 34,1,3 8 29 34 70,2,3 8 29 34 70 64,3,8 29 39 70,1,8 29 39 70 61,1,8 29 39 70 61 3,1,8 22 64 72,1,8 22 64 72 10,1,8 22 64 72 10 38,1,8 29 39 70,1,8 29 39 70 61,1,8 29 39 70 61 3,1,3 8 29 61,0,3 8 29 61 70,1,3 8 29 61 70 34,2,1 2 3 4,2,1 2 3 4 5,2,1 2 3 4 5 6,3,12 29 34 61,1,12 29 34 61 3,1,12 29 34 61 3 66,1,3 7 9 10,1,3 7 9 10 14,1,3 7 9 10 14 15,2,18 28 58 68,0,18 28 58 68 78,0,18 28 58 68 78 38,0,8 19 29 52,0,8 19 29 52 14,0,8 19 29 52 14 70,1,8 29 39 70,1,8 29 34 39 70,2,8 29 34 39 54 70,2,8 29 39 70,1,8 29 39 70 61,1,8 29 39 70 61 3,1,29 34 70 79,2,29 34 54 70 79,2,29 34 54 66 70 79,2,52 66 70 79,1,52 66 70 79 3,1,52 66 70 79 3 19,1,1.0,1.25,1.5
48710,48711,16482,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,20 26 33 70,2,20 26 33 70 18,2,20 26 33 70 18 8,3,11 25 31 58,1,11 25 31 58 72,2,11 25 31 58 72 8,3,3 8 29 34,3,3 8 29 34 61,3,3 8 29 34 61 39,3,8 29 61 70,2,8 29 61 70 39,2,8 29 61 70 39 34,3,25 38 64 72,3,25 38 64 72 31,3,25 38 64 72 31 8,4,8 29 61 70,2,8 29 61 70 39,2,8 29 61 70 39 34,3,3 29 61 70,1,3 29 61 70 39,1,3 29 61 70 39 34,2,1 2 3 4,1,1 2 3 4 5,1,1 2 3 4 5 6,1,15 29 61 64,2,15 29 61 64 49,2,15 29 61 64 49 34,3,1 2 6 9,2,1 2 6 9 11,2,1 2 6 9 11 15,2,18 28 58 68,0,18 28 58 68 78,1,18 28 58 68 78 14,1,8 64 70 15,2,8 64 70 15 52,2,8 64 70 15 52 29,3,8 29 34 70,3,8 29 34 39 70,3,8 29 34 39 61 70,3,29 39 61 70,1,29 39 61 70 8,2,29 39 61 70 8 34,3,8 34 60 70,2,8 29 34 60 70,3,8 39 44 60 65 70,1,15 34 64 70,2,15 34 64 70 44,2,15 34 64 70 44 9,3,1.0,1.25,1.5
48711,48712,16483,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,8 20 26 33,1,8 20 26 33 70,1,8 20 26 33 70 18,2,8 25 31 58,0,8 25 31 58 72,0,8 25 31 58 72 78,0,3 8 29 61,1,3 8 29 61 70,1,3 8 29 61 70 52,1,3 8 29 39,0,3 8 29 39 34,0,3 8 29 39 34 61,1,8 25 64 72,0,8 25 64 72 31,0,8 25 64 72 31 66,0,3 8 29 39,0,3 8 29 39 34,0,3 8 29 39 34 61,1,3 29 34 39,0,3 29 34 39 61,1,3 29 34 39 61 70,1,1 2 3 4,0,1 2 3 4 5,0,1 2 3 4 5 6,0,3 29 39 64,0,3 29 39 64 63,0,3 29 39 64 63 28,0,2 8 9 19,0,2 8 9 19 23,0,2 8 9 19 23 25,0,18 28 58 68,1,18 28 58 68 78,1,18 28 58 68 78 14,1,8 29 34 64,0,8 29 34 64 52,0,8 29 34 64 52 9,0,8 29 34 70,0,8 29 34 39 70,0,8 29 34 39 61 70,1,3 8 29 39,0,3 8 29 39 34,0,3 8 29 39 34 61,1,8 29 34 70,0,9 29 34 44 61,1,9 29 34 36 44 61,2,8 29 36 64,1,8 29 36 64 34,1,8 29 36 64 34 72,1,1.0,1.25,1.5
48712,48713,16484,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,11 18 20 33,2,11 18 20 33 56,3,11 18 20 33 56 70,3,8 25 31 58,1,8 25 31 58 72,1,8 25 31 58 72 11,2,3 8 29 34,2,3 8 29 34 61,3,3 8 29 34 61 70,3,3 8 29 64,2,3 8 29 64 70,2,3 8 29 64 70 65,2,52 62 66 72,0,52 62 66 72 18,1,52 62 66 72 18 13,1,3 8 29 64,2,3 8 29 64 70,2,3 8 29 64 70 65,2,3 29 34 70,2,3 29 34 70 64,2,3 29 34 70 64 8,2,1 2 3 4,3,1 2 3 4 5,3,1 2 3 4 5 6,3,3 29 64 70,2,3 29 64 70 8,2,3 29 64 70 8 50,3,10 12 13 18,1,10 12 13 18 33,1,10 12 13 18 33 35,1,14 18 54 58,1,14 18 54 58 64,1,14 18 54 58 64 68,1,8 54 34 64,0,8 54 34 64 29,1,8 54 34 64 29 61,2,8 29 34 70,1,8 29 34 54 70,1,8 29 34 54 61 70,2,3 8 29 64,2,3 8 29 64 70,2,3 8 29 64 70 65,2,8 29 34 70,1,29 33 34 54 70,1,29 33 34 54 66 70,1,54 61 62 74,1,54 61 62 74 33,1,54 61 62 74 33 12,1,1.0,1.25,1.5
48713,48714,16485,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,11 18 56 64,1,11 18 56 64 8,2,11 18 56 64 8 19,2,8 11 25 31,1,8 11 25 31 58,1,8 11 25 31 58 72,2,8 29 34 70,2,8 29 34 70 65,3,8 29 34 70 65 33,3,3 34 39 70,1,3 34 39 70 29,2,3 34 39 70 29 8,3,8 22 64 72,3,8 22 64 72 31,3,8 22 64 72 31 38,3,3 34 39 70,1,3 34 39 70 29,2,3 34 39 70 29 8,3,3 29 34 70,2,3 29 34 70 39,2,3 29 34 70 39 61,2,1 2 3 4,1,1 2 3 4 5,1,1 2 3 4 5 6,1,3 17 34 70,2,3 17 34 70 49,3,3 17 34 70 49 61,3,1 3 4 11,1,1 3 4 11 15,2,1 3 4 11 15 18,2,14 18 54 58,1,14 18 54 58 11,1,14 18 54 58 11 51,1,8 29 34 11,2,8 29 34 11 61,2,8 29 34 11 61 15,3,8 29 34 70,2,8 29 34 39 70,2,8 22 29 34 39 70,2,3 34 39 70,1,3 34 39 70 29,2,3 34 39 70 29 8,3,8 29 34 70,2,3 8 29 33 49,4,3 8 29 33 49 65,5,15 29 39 49,3,15 29 39 49 61,3,15 29 39 49 61 42,3,1.0,1.25,1.5
48714,48715,16486,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,9 15 55 56,2,9 15 55 56 26,2,9 15 55 56 26 11,2,8 25 31 72,1,8 25 31 72 58,1,8 25 31 72 58 11,1,3 8 29 70,0,3 8 29 70 12,1,3 8 29 70 12 49,1,8 29 34 39,0,8 29 34 39 3,0,8 29 34 39 3 70,0,8 37 64 72,1,8 37 64 72 25,1,8 37 64 72 25 31,2,8 29 34 39,0,8 29 34 39 3,0,8 29 34 39 3 70,0,3 8 29 34,0,3 8 29 34 39,0,3 8 29 34 39 70,0,1 2 3 4,1,1 2 3 4 5,1,1 2 3 4 5 6,2,3 29 39 61,0,3 29 39 61 34,0,3 29 39 61 34 17,0,3 8 9 12,2,3 8 9 12 14,2,3 8 9 12 14 15,2,14 18 24 28,0,14 18 24 28 54,0,14 18 24 28 54 64,1,8 29 64 61,1,8 29 64 61 34,1,8 29 64 61 34 52,1,8 29 34 70,0,8 29 34 39 70,0,8 29 34 39 54 70,0,8 29 34 39,0,8 29 34 39 70,0,8 29 34 39 70 3,0,8 29 34 70,0,8 29 34 39 70,0,8 14 29 39 65 70,1,8 29 49 64,1,8 29 49 64 12,2,8 29 49 64 12 3,2,1.0,1.25,1.5
48715,48716,16487,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,9 15 55 56,1,9 15 55 56 64,1,9 15 55 56 64 26,1,8 25 31 72,2,8 25 31 72 58,3,8 25 31 72 58 11,3,3 8 29 70,2,3 8 29 70 61,2,3 8 29 70 61 65,3,8 29 61 70,2,8 29 61 70 3,2,8 29 61 70 3 39,2,8 31 64 72,2,8 31 64 72 11,2,8 31 64 72 11 38,2,8 29 61 70,2,8 29 61 70 3,2,8 29 61 70 3 39,2,8 29 61 70,2,8 29 61 70 3,2,8 29 61 70 3 39,2,1 2 3 4,0,1 2 3 4 5,0,1 2 3 4 5 6,1,3 8 54 61,1,3 8 54 61 39,1,3 8 54 61 39 28,1,2 6 9 10,2,2 6 9 10 12,2,2 6 9 10 12 19,2,14 19 24 29,0,14 19 24 29 54,0,14 19 24 29 54 59,0,8 29 64 9,2,8 29 64 9 19,2,8 29 64 9 19 31,2,8 29 34 70,3,8 29 34 39 70,3,8 29 34 39 54 70,3,8 29 61 70,2,8 29 61 70 3,2,8 29 61 70 3 39,2,29 34 70 79,3,29 34 54 70 79,3,29 34 54 61 70 79,3,9 31 64 79,2,9 31 64 79 19,2,9 31 64 79 19 65,3,1.0,1.25,1.5
48716,48717,16488,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,9 15 55 64,1,9 15 55 64 46,1,9 15 55 64 46 20,1,8 25 31 72,2,8 25 31 72 58,2,8 25 31 72 58 18,2,29 34 61 70,2,29 34 61 70 8,2,29 34 61 70 8 3,2,3 29 39 70,2,3 29 39 70 34,2,3 29 39 70 34 12,3,8 31 64 72,2,8 31 64 72 25,2,8 31 64 72 25 62,2,3 29 39 70,2,3 29 39 70 34,2,3 29 39 70 34 12,3,3 29 39 70,2,3 29 39 70 61,3,3 29 39 70 61 34,3,1 2 3 4,0,1 2 3 4 5,0,1 2 3 4 5 6,0,29 34 39 70,2,29 34 39 70 61,3,29 34 39 70 61 3,3,6 8 9 22,0,6 8 9 22 23,0,6 8 9 22 23 34,0,21 22 24 29,1,21 22 24 29 54,1,21 22 24 29 54 28,1,8 34 64 29,1,8 34 64 29 9,1,8 34 64 29 9 60,1,29 34 70 79,2,8 29 34 70 79,2,8 29 34 39 70 79,3,3 29 39 70,2,3 29 39 70 34,2,3 29 39 70 34 12,3,29 34 70 79,2,8 29 34 60 70,1,8 29 34 39 60 70,2,8 34 70 79,1,8 34 70 79 44,2,8 34 70 79 44 60,2,1.0,1.25,1.5
48717,48718,16489,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,9 15 55 56,0,9 15 55 56 44,0,9 15 55 56 44 64,0,8 25 31 58,2,8 25 31 58 72,3,8 25 31 58 72 18,3,8 29 34 65,1,8 29 34 65 3,2,8 29 34 65 3 39,2,3 8 29 70,2,3 8 29 70 61,2,3 8 29 70 61 34,2,8 18 64 72,2,8 18 64 72 31,2,8 18 64 72 31 52,3,3 8 29 70,2,3 8 29 70 61,2,3 8 29 70 61 34,2,3 8 29 70,2,3 8 29 70 61,2,3 8 29 70 61 34,2,1 2 3 4,2,1 2 3 4 5,3,1 2 3 4 5 6,3,29 34 44 61,0,29 34 44 61 14,1,29 34 44 61 14 3,2,12 15 29 31,0,12 15 29 31 32,0,12 15 29 31 32 36,1,21 22 24 29,2,21 22 24 29 12,2,21 22 24 29 12 14,3,29 8 34 72,2,29 8 34 72 31,2,29 8 34 72 31 61,2,8 29 34 52,2,8 29 34 39 70,1,8 29 31 34 52 61,2,3 8 29 70,2,3 8 29 70 61,2,3 8 29 70 61 34,2,8 29 34 70,1,8 29 34 44 70,1,8 29 39 44 65 70,1,29 44 52 61,1,29 44 52 61 74,2,29 44 52 61 74 31,2,1.0,1.25,1.5
48718,48719,16490,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,9 15 33 56,1,9 15 33 56 47,1,9 15 33 56 47 42,1,8 25 31 72,0,8 25 31 72 58,1,8 25 31 72 58 22,1,3 8 29 70,1,3 8 29 70 61,1,3 8 29 70 61 34,1,3 8 29 39,1,3 8 29 39 70,1,3 8 29 39 70 61,1,8 31 64 72,1,8 31 64 72 22,1,8 31 64 72 22 52,1,3 8 29 39,1,3 8 29 39 70,1,3 8 29 39 70 61,1,3 8 29 70,1,3 8 29 70 39,1,3 8 29 70 39 61,1,1 2 3 4,2,1 2 3 4 5,2,1 2 3 4 5 6,3,3 8 29 64,2,3 8 29 64 39,2,3 8 29 64 39 34,2,1 3 5 8,1,1 3 5 8 14,1,1 3 5 8 14 21,1,12 22 32 72,0,12 22 32 72 21,0,12 22 32 72 21 31,0,8 29 52 72,0,8 29 52 72 34,0,8 29 52 72 34 61,0,8 29 34 70,0,8 29 34 39 70,0,8 22 29 34 39 70,0,3 8 29 39,1,3 8 29 39 70,1,3 8 29 39 70 61,1,8 34 60 70,1,3 8 12 33 49,1,3 8 12 29 33 49,1,3 8 52 79,1,3 8 52 79 72,1,3 8 52 79 72 49,1,1.0,1.25,1.5
48719,48720,16491,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,9 15 55 64,1,9 15 55 64 33,1,9 15 55 64 33 56,2,8 25 31 72,0,8 25 31 72 58,0,8 25 31 72 58 18,0,3 8 29 34,1,3 8 29 34 70,1,3 8 29 34 70 65,1,3 8 29 70,0,3 8 29 70 34,1,3 8 29 70 34 61,1,8 31 64 72,0,8 31 64 72 25,0,8 31 64 72 25 68,0,3 8 29 70,0,3 8 29 70 34,1,3 8 29 70 34 61,1,3 29 49 70,1,3 29 49 70 8,1,3 29 49 70 8 34,2,1 2 3 4,1,1 2 3 4 5,1,1 2 3 4 5 6,2,3 29 49 70,1,3 29 49 70 34,2,3 29 49 70 34 14,2,3 4 6 7,2,3 4 6 7 15,2,3 4 6 7 15 16,2,12 22 31 32,0,12 22 31 32 34,1,12 22 31 32 34 39,2,8 64 52 29,0,8 64 52 29 15,0,8 64 52 29 15 3,0,8 29 34 70,1,8 29 34 39 70,2,8 29 34 39 52 70,2,3 8 29 70,0,3 8 29 70 34,1,3 8 29 70 34 61,1,8 29 34 70,1,8 29 34 44 70,1,12 14 29 44 61 65,0,3 63 64 69,1,3 63 64 69 15,1,3 63 64 69 15 62,1,1.0,1.25,1.5
48720,48721,16492,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,9 15 55 56,2,9 15 55 56 33,2,9 15 55 56 33 79,2,8 25 31 72,2,8 25 31 72 58,2,8 25 31 72 58 18,2,8 29 61 70,1,8 29 61 70 34,2,8 29 61 70 34 3,2,29 34 39 70,3,29 34 39 70 61,3,29 34 39 70 61 12,3,8 31 64 72,1,8 31 64 72 55,1,8 31 64 72 55 25,2,29 34 39 70,3,29 34 39 70 61,3,29 34 39 70 61 12,3,29 34 39 70,3,29 34 39 70 3,3,29 34 39 70 3 61,3,1 2 3 4,2,1 2 3 4 5,3,1 2 3 4 5 6,3,29 34 39 52,2,29 34 39 52 3,2,29 34 39 52 3 73,2,4 6 19 27,1,4 6 19 27 34,2,4 6 19 27 34 35,2,31 32 34 35,2,31 32 34 35 39,3,31 32 34 35 39 72,3,34 39 8 79,2,34 39 8 79 52,2,34 39 8 79 52 29,2,29 34 70 79,2,29 34 35 70 79,2,29 34 35 39 70 79,3,29 34 39 70,3,29 34 39 70 61,3,29 34 39 70 61 12,3,29 34 70 79,2,8 35 39 66 70,3,29 34 35 66 70 79,3,34 35 39 79,2,34 35 39 79 55,2,34 35 39 79 55 49,2,1.0,1.25,1.5
48721,48722,16493,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,9 15 55 56,0,9 15 55 56 47,0,9 15 55 56 47 79,0,8 25 31 72,0,8 25 31 72 66,0,8 25 31 72 66 18,1,8 34 39 61,1,8 34 39 61 70,1,8 34 39 61 70 29,1,3 29 34 70,1,3 29 34 70 61,2,3 29 34 70 61 39,2,31 38 64 72,0,31 38 64 72 25,0,31 38 64 72 25 69,0,3 29 34 70,1,3 29 34 70 61,2,3 29 34 70 61 39,2,3 29 34 70,1,3 29 34 70 61,2,3 29 34 70 61 39,2,1 2 3 4,1,1 2 3 4 5,1,1 2 3 4 5 6,1,3 29 61 64,2,3 29 61 64 52,3,3 29 61 64 52 33,3,1 2 5 9,0,1 2 5 9 10,0,1 2 5 9 10 20,0,31 32 39 79,0,31 32 39 79 35,0,31 32 39 79 35 34,0,34 39 9 8,0,34 39 9 8 79,0,34 39 9 8 79 31,0,29 34 70 79,0,8 29 34 39 70,0,8 29 34 39 70 79,0,3 29 34 70,1,3 29 34 70 61,2,3 29 34 70 61 39,2,29 34 70 79,0,29 34 66 70 79,0,8 29 34 39 66 70,0,9 34 39 70,0,9 34 39 70 31,0,9 34 39 70 31 66,0,1.0,1.25,1.5
48722,48723,16494,2.0.0,90c2d5fdc1da5153837e300db529492e631fad5fe6838a16d058b3902db9df98,9 15 21 56,1,9 15 21 56 3,1,9 15 21 56 3 79,1,8 25 31 72,1,8 25 31 72 66,2,8 25 31 72 66 18,2,3 8 29 34,1,3 8 29 34 70,2,3 8 29 34 70 61,3,12 29 61 70,3,12 29 61 70 39,3,12 29 61 70 39 3,3,8 31 38 72,1,8 31 38 72 25,1,8 31 38 72 25 64,1,12 29 61 70,3,12 29 61 70 39,3,12 29 61 70 39 3,3,3 29 39 70,2,3 29 39 70 34,2,3 29 39 70 34 61,3,1 2 3 4,1,1 2 3 4 5,1,1 2 3 4 5 6,1,3 29 61 70,3,3 29 61 70 12,3,3 29 61 70 12 39,3,3 17 18 19,0,3 17 18 19 21,0,3 17 18 19 21 26,0,29 32 39 79,2,29 32 39 79 31,2,29 32 39 79 31 72,3,34 61 39 3,1,34 61 39 3 40,1,34 61 39 3 40 8,1,29 34 70 79,2,8 29 34 39 70,2,8 29 34 39 65 70,3,12 29 61 70,3,12 29 61 70 39,3,12 29 61 70 39 3,3,29 34 70 79,2,29 34 54 70 79,3,8 29 34 39 40 70,2,3 52 61 62,1,3 52 61 62 40,1,3 52 61 62 40 65,2,1.0,1.25,1.5
